FID,IID,F1,F2
510,5101,0.149,NA
510,5102,0.181,NA
511,5111,0.08,NA
511,5112,0.202,NA
512,5122,-0.54,NA
513,5131,0.402,NA
513,5132,0.313,NA
514,5141,-0.032,0.127
514,5142,-0.082,NA
516,5162,-0.476,NA
517,5171,-0.82,NA
517,5172,-0.44,NA
518,5181,NA,NA
518,5182,0.222,0.25
519,5191,0.283,NA
519,5192,0.167,0.408
520,5201,-0.327,NA
520,5202,-0.086,NA
521,5212,0.528,0.18
522,5221,0.387,NA
524,5241,0.238,NA
526,5262,0.239,-0.832
528,5281,0.145,NA
528,5282,0.027,NA
529,5292,0.076,NA
530,5302,-0.382,0.293
533,5331,-0.227,NA
533,5332,0.083,NA
534,5341,0.156,-0.724
535,5351,0.337,NA
535,5352,0.078,NA
536,5361,0.281,NA
536,5362,0.225,NA
537,5372,-0.117,1.107
538,5381,0.045,NA
539,5391,0.095,NA
541,5411,0.719,-0.545
542,5422,0.15,-0.491
547,5471,-0.26,0.61
551,5511,0.391,NA
558,5581,0.056,NA
558,5582,-0.215,NA
559,5591,-0.203,NA
559,5592,0.033,NA
563,5631,-0.035,NA
563,5632,-0.077,NA
565,5651,-0.042,NA
565,5652,-0.19,NA
567,5671,0.354,NA
568,5681,-0.116,NA
570,5701,-0.221,NA
573,5732,-0.702,-0.63
574,5741,0.397,NA
575,5751,-0.251,NA
575,5752,0.019,NA
576,5762,-0.152,NA
577,5771,0.48,NA
577,5772,-0.453,NA
578,5782,0.273,NA
579,5791,-0.087,NA
580,5801,0.109,NA
580,5802,0.026,0.086
583,5832,-0.375,NA
586,5861,0.022,NA
587,5871,0.266,-0.57
587,5872,0,0.959
591,5911,0.072,NA
591,5912,0.382,NA
593,5932,0.103,NA
595,5952,-0.007,NA
598,5981,-0.504,0.487
598,5982,0.095,NA
600,6002,-0.609,-0.191
602,6021,0.001,NA
602,6022,-0.18,NA
605,6052,0.036,NA
604,6041,-0.009,NA
604,6042,0.266,NA
606,6061,-0.007,NA
607,6071,0.135,NA
607,6072,-0.067,NA
608,6081,-0.439,NA
608,6082,-0.566,NA
609,6092,0.028,NA
610,6101,0.077,-0.413
611,6111,0.005,NA
611,6112,-0.698,0.331
613,6131,0.128,NA
613,6132,0.42,NA
616,6161,0.007,NA
616,6162,-0.068,-0.266
617,6171,-0.006,0.441
617,6172,-0.317,NA
618,6181,0.103,NA
619,6191,-0.366,NA
619,6192,0.227,0.363
620,6201,0.231,NA
620,6202,0.229,NA
621,6211,0.039,NA
621,6212,NA,NA
622,6222,-0.265,NA
623,6231,-0.549,-0.23
623,6232,-0.421,NA
624,6241,0.252,NA
624,6242,0.063,NA
626,6261,NA,NA
626,6262,-0.762,NA
627,6271,0.13,0.403
628,6282,-0.11,NA
630,6302,0.207,NA
632,6321,NA,NA
635,6352,-0.436,-0.108
637,6371,-0.243,NA
638,6382,-0.328,-0.611
641,6411,0.005,-1.168
641,6412,-0.178,-0.002
642,6421,-0.136,NA
642,6422,-0.065,0.787
